Key,File,Type,UsedInMainMenu,NoTranslate,english,spanish,Context
foodSugarTMDesc,,,,,"Sweeten your life with a little sugar, very useful in different recipes.","Endulza tu vida con un poco de azúcar, muy útil en diferentes postres.",,
foodPastaBaseTM,,,,,"Pasta","Pasta",,
foodPastaBaseTMDesc,,,,,"Pasta is the base for different recipes","Pasta es la base para diferentes recetas.",,
foodPastaMushroomsTM,,,,,"Pasta with Mushrooms","Pasta con Setas",,
foodPastaMushroomsTMDesc,,,,,"Pasta and Mushrooms, curious combination.","Pasta y Setas, curiosa combinación.",,
foodStewBeefTM,,,,,"Beef Stew","Estofado de Ternera",,
foodStewBeefTMDesc,,,,,"Rich stew with cans of Beef.","Rico estofado con latas de Ternera.",,
foodStewLambTM,,,,,"Lamb stew","Estofado de Cordero",,
foodStewLambTMDesc,,,,,"Rich stew with cans of Lamb.","Rico estofado con latas de Cordero.",,
foodStewChickenTM,,,,,"Chicken stew","Estofado de Pollo",,
foodStewChickenTMDesc,,,,,"Rich stew with cans of Chicken.","Rico estofado con latas de Pollo.",,
foodStewChiliTM,,,,,"Chili stew","Estofado de Chili",,
foodStewChiliTMDesc,,,,,"Rich stew with cans of Chili.","Rico estofado con latas de Chili.",,
foodStewShamTM,,,,,"Sham stew.","Estofado de Sham.",,
foodStewShamTMDesc,,,,,"Rich stew with cans of Sham.","Rico estofado con latas de Sham.",,
foodSoupMisoTM,,,,,"miso soup","Sopa de Miso",,
foodSoupMisoTMDesc,,,,,"Rich soup with cans of Miso.","Rica sopa con latas de Miso.",,
foodSoupStockTM,,,,,"Meat soup","Sopa de Carne",,
foodSoupStockTMDesc,,,,,"Rich soup with cans of meat.","Rica sopa con latas de Carne.",,
foodSoupChickenTM,,,,,"Chicken Soup","Sopa de Pollo",,
foodSoupChickenTMDesc,,,,,"Rich soup with cans of Chicken.","Rica sopa con latas de Pollo.",,
foodPearsCakeTM,,,,,"Pear cake","Pastel de Peras"
foodPearsCakeTMDesc,,,,,"Delicious cake with pears.","Delicioso pastel con Peras.",,
foodPeasHamTM,,,,,"Peas with ham","Guisantes con Jamón",,
foodPeasHamTMDesc,,,,,"Peas and Ham combine in a luxurious dish.","Guisantes y Jamón combinan en un plato de lujo.",,
foodSalmonTacoTM,,,,,"Salmon Tacos","Tacos de Salmón",,
foodSalmonTacoTMDesc,,,,,"A practical way to eat fish.","Una forma práctica de comer pescado.",,
foodTunaBreadTM,,,,,"Tuna snack","Bocadillo de Atún",,
foodTunaBreadTMDesc,,,,,"A snack to regain strength.","Un bocadillo para recuperar fuerzas.",,
foodExtraCatTM,,,,,"Hunter's Combine","Combinado de Cazador",,
foodExtraCatTMDesc,,,,,"Combination to improve Hunter skills.","Combinación para mejorar las habilidades de Cazador.",,
foodExtraDogTM,,,,,"Combined Force","Combinado de Fuerza",,
foodExtraDogTMDesc,,,,,"Combination to improve Fighter skills.","Combinación para mejorar las habilidades de Luchador.",,
foodPastaYuccaTM,,,,,"Pasta with Yucca","Pasta con Yuca",,
foodPastaYuccaTMDesc,,,,,"Pasta and Yucca, a curious combination.","Pasta y Yuca, curiosa combinación.",,
foodPastaPotatoTM,,,,,"Pasta with Potatoes","Pasta con Patatas",,
foodPastaPotatoTMDesc,,,,,"Pasta and Potatoes, a curious combination.","Pasta y Patatas, curiosa combinación.",,
foodPastaPumpkinTM,,,,,"Pasta with Pumpkin","Pasta con Calabaza",,
foodPastaPumpkinTMDesc,,,,,"Pasta and Pumpkin, a curious combination.","Pasta y Calabaza, curiosa combinación.",,
foodSteakPotatoTM,,,,,"Steak with potatoes","Bistec con Patatas",,
foodSteakPotatoTMDesc,,,,,"Steak with potatoes of a lifetime, take advantage.","Bistec con patatas de toda la vida, que aproveche.",,
vehicleWheelSchematicTM,,,,,"Wheel Schematics","Esquema de Rueda",,
vehicleWheelSchematicTMDesc,,,,,"Unlock the wheels for any vehicle.","Desbloquea las ruedas para cualquier vehículo.",,
medicalAlcoholTM,,,,,"medical alcohol","Alcohol Médico",,
medicalAlcoholTMDesc,,,,,"Alcohol for Medical resources ''don't drink''.","Alcohol para recursos Médicos ''no beber''.",,
resourceBioFuelTM,,,,,"Bio Fuel","Biocombustible",,
resourceBioFuelTMDesc,,,,,"Chemical preparation to use different recipes.","Preparado químico para usar diferentes recetas.",,
modSniperwolfBraceletTM,,,,,"Sniperwolf Bracelet","Brazalete de Sniperwolf",,
modSniperwolfBraceletTMDesc,,,,,"Increases Perception level by 1 point.","Aumenta en 1 punto el nivel de Percepción.",,
modRagnarBraceletTM,,,,,"Ragnar Bracelet","Brazalete de Ragnar",,
modRagnarBraceletTMDesc,,,,,"Increases Strength level by 1 point.","Aumenta en 1 punto el nivel de Fuerza.",,
modChopperBraceletTM,,,,,"Chopper Bracelet","Brazalete de Chopper",,
modChopperBraceletTMDesc,,,,,"Increases Fortitude level by 1 point.","Aumenta en 1 punto el nivel de Fortaleza.",,
modJordanBraceletTM,,,,,"Jordan Bracelet","Brazalete de Jordan",,
modJordanBraceletTMDesc,,,,,"Increases Agility level by 1 point.","Aumenta en 1 punto el nivel de Agilidad.",,
modUchihaBraceletTM,,,,,"Uchiha Bracelet","Brazalete de los Uchiha",,
modUchihaBraceletTMDesc,,,,,"Increases Intelligence level by 1 point.","Aumenta en 1 punto el nivel de Inteligencia.",,
modSilverBraceletTM,,,,,"Silver Bracelet","Brazalete de Plata",,
modSilverBraceletTMDesc,,,,,"Increases loot stage by 20 points.","Aumenta la etapa de saqueo en 20 puntos.",,
modGoldBraceletTM,,,,,"Gold Bracelet","Brazalete de Oro",,
modGoldBraceletTMDesc,,,,,"Increases loot stage by 60 points.","Aumenta la etapa de saqueo en 60 puntos.",,
modObserverHatTM,,,,,"Observer Hat","Sombrero del Observador",,
modObserverHatTMDesc,,,,,"Increases loot stage by 75 points.","Aumenta la etapa de saqueo en 75 puntos.",,
modRubyBraceletTM,,,,,"Ruby Bracelet","Brazalete de Rubi",,
modRubyBraceletTMDesc,,,,,"Increases loot stage by 150 points.","Aumenta la etapa de saqueo en 150 puntos.",,
modSonicShoesTM,,,,,"Blue Hedgehog Shoes","Zapatillas del Erizo Azul",,
modSonicShoesTMDesc,,,,,"Increases running speed and reduces stamina consumption by 20%.","Aumenta la velocidad de marcha y reduce el consumo de resistencia corriendo un 20%.",,
modSportBackpackTM,,,,,"Sport Backpack","Mochila Deportiva",,
modSportBackpackTMDesc,,,,,"Great backpack to increase carry capacity in 5 slots.","Buena mochila que aumenta la capacidad de carga en 5 casillas.",,
modMilitaryBackpackTM,,,,,"Military Backpack","Mochila Militar",,
modMilitaryBackpackTMDesc,,,,,"Very big backpack from military, to increase carry capacity in 8 slots.","Gran mochila militar, que aumenta la capacidad de carga en 8 casillas.",,
modMilitaryTacticalBackpackTM,,,,,"Military Tactical Backpack","Mochila Militar Táctica",,
modMilitaryTacticalBackpackTMDesc,,,,,"Awesome backpack for military only. Increase carry capcity in 2 slots.","Impresionante mochila solo para militares. Aumenta la capacidad de carga en 12 casillas.",,
modSniperwolfBraceletTMSchematic,,,,,"Sniperwolf Bracelet Schematic","Esquema de Brazalete de Sniperwolf",,
modRagnarBraceletTMSchematic,,,,,"Ragnar Bracelet Schematic","Esquema de Brazalete de Ragnar",,
modChopperBraceletTMSchematic,,,,,"Chopper Bracelet Schematic","Esquema de Brazalete de Chopper",,
modJordanBraceletTMSchematic,,,,,"Jordan Bracelet Schematic","Esquema de Brazalete de Jordan",,
modUchihaBraceletTMSchematic,,,,,"Uchiha Bracelet Schematic","Esquema de Brazalete de los Uchiha",,
modSilverBraceletTMSchematic,,,,,"Silver Bracelet Schematic","Esquema de Brazalete de Plata",,
modGoldBraceletTMSchematic,,,,,"Gold Bracelet Schematic","Esquema de Brazalete de Oro",,
modObserverHatTMSchematic,,,,,"Observer Hat Schematic","Esquema de Sombrero del Observador",,
modRubyBraceletTMSchematic,,,,,"Ruby Bracelet Schematic","Esquema de Brazalete de Rubí",,
modSonicShoesTMSchematic,,,,,"Blue Hedgehog Shoes Schematic","Esquema de Zapatillas del Erizo Azul",,
modSportBackpackTMSchematic,,,,,"Sport Backpack Schematic","Esquema de Mochila Deportiva",,
modMilitaryBackpackTMSchematic,,,,,"Military Backpack Schematic","Esquema de Mochila Militar",,
modMilitaryTacticalBackpackTMSchematic,,,,,"Military Tactical Backpack Schematic","Esquema de Mochila Militar Táctica",,
workingAutominerADVSchematic,,,,,"Advanced Autominer Schematic","Esquema de Autominado Avanzado",,
meleeWpnSpikedClub,,,,,"Spiked Club","Lucero del Alba",,
meleeWpnSpikedClubDesc,,,,,"A badass club with sharp spikes.","Un palo rudo con clavos afilados.",,
meleeWpnSpikedClubSchematic,,,,,"Spiked Club Schematic","Esquema de Lucero del Alba",,
meleeWpnSpikedClubSchematicDesc,,,,,"Unlocked Spiked Club Schematic","Desbloquea el Esquema de Lucero del Alba",,
explosivesSchematicTM,,,,,"Explosives Schematic","Esquema de Explosivos",,
drugsSchematicTM,,,,,"Drugs Schematic","Esquema de Drogas",,
batterySchematicTM,,,,,"Battery Schematic","Esquema de Bateria",,
ammoGasCanBundleSchematicTM,,,,,"Gas Can Stack Schematic","Esquema de stack de Gasolina",,
resourceGunPowderBundleSchematicTM,,,,,"Gun Power Stack Schematic","Esquema de stack de Pólvora",,
explosivesSchematicTMDesc,,,,,"Unlocked explosive types: Air Filter Land Mine, Cooking Pot Mine, Hubcap LandMine, Pressure Plate Mine.","Desbloquea varios explosivos: Mina de olla, Mina de placa de presión, Mina terrestre de tapacubos, Mina terrestre de filtro de aire.",,
drugsSchematicTMDesc,,,,,"Unlocked Drugs types: Fort Bites, Recog, Steroids.","Desbloquea varias drogas: Bocados de Fortaleza, Esteroides, Reconocimiento.",,
batterySchematicTMDesc,,,,,"Unlocked Car Battery","Desbloquea la batería de coche.",,
ammoGasCanBundleSchematicTMDesc,,,,,"Unlocked Stack Gas Can.","Desbloquea el stack para bidones de gasolina.",,
resourceGunPowderBundleSchematicTMDesc,,,,,"Unlocked Stack of Gunpowder","Desbloquea el stack para pila de pólvora.",,
ammoBox9mmBulletTM,,,,,"9 mm Bullet Resources","Componentes de Bala 9 mm",,
ammoBox9mmBulletHPTM,,,,,"9 mm HP Bullet Resources","Componentes de Bala 9 mm HP",,
ammoBox9mmBulletAPTM,,,,,"9 mm AP Bullet Resources","Componentes de Bala 9 mm AP",,
ammoBoxShotgunShellTM,,,,,"Shotgun Shell Resources","Componentes de Cartuchos",,
ammoBoxShotgunBreachingSlugTM,,,,,"Shotgun Breaching Slug Resources","Componentes de Cartuchos Rompedores",,
ammoBoxShotgunSlugTM,,,,,"Shotgun Slug Resources","Componentes de Cartuchos Slug",,
ammoBox762mmBulletBallTM,,,,,"7.62 mm Bullet Resources","Componentes de Bala 7.62 mm",,
ammoBox762mmBulletHPTM,,,,,"7.62 mm HP Bullet Resources","Componentes de Bala 7.62 mm HP",,
ammoBox762mmBulletAPTM,,,,,"7.62 mm AP Bullet Resources","Componentes de Bala 7.62 mm AP",,
ammoBox44MagnumBulletBallTM,,,,,"9 mm Bullet Resources","Componentes de Bala .44 mm",,
ammoBox44MagnumBulletHPTM,,,,,"9 mm HP Bullet Resources","Componentes de Bala .44 mm HP",,
ammoBox44MagnumBulletAPTM,,,,,"9 mm AP Bullet Resources","Componentes de Bala .44 mm AP",,
ammoBoxArrowFlamingTM,,,,,"Flame Arrow Resources","Componentes de Flecha Incendiaria",,
ammoBoxArrowExplodingTM,,,,,"Explosive Arrow Resources","Componentes de Flecha Explosiva",,
ammoBoxCrossbowBoltFlamingTM,,,,,"Flame Bolt Resources","Componentes de Virote Incendiario",,
ammoBoxCrossbowBoltExplodingTM,,,,,"Explosive Bolt Resources","Componentes de Virote Explosivo",,
ammoBoxRocketFragTM,,,,,"Rocket Resources","Componentes de Copete",,
ammoBoxRocketHETM,,,,,"Rocket HE Resources","Componentes de Copete HE",,
thrownBoxAmmoPipeBombTM,,,,,"Pipe Bomb Resources","Componentes de de Bomba de Tubo",,
thrownBoxDynamiteTM,,,,,"Dynamite Resources","Componentes de Dinamita",,
thrownBoxGrenadeTM,,,,,"Grenade Resources","Componentes de Granada",,
thrownBoxGrenadeContactTM,,,,,"Contact Grenade Resources","Componentes de Granada de Contacto",,
thrownBoxTimedChargeTM,,,,,"Time Charge Resources","Componentes de Carga con Temporizador",,
ammoBoxBaseDesc,,,,,"This box contains all resources to craft indicated ammunation.","Esta caja contiene todos los materiales para fabricar la munición indicada.",,
lblHerramientasDysmantle,,,,,"Tools Crafting","Crafteo de herramientas",,
lblArmasDysmantle,,,,,"Weapons Crafting","Crafteo de Armas",,
lblArmadurasDysmantle,,,,,"Armor Crafting","Crafteo de Armaduras",,
lblMuniDysmantle,,,,,"Ammo & Ammo Boxs","Munición y Cajas de Munición",,
lblPartsDysmantle,,,,,"Parts Crafting","Crafteo de Partes",,
lblModdetDysmantle,,,,,"Mods Crafting","Crafteo de Mods",,
lblChemistryDysmantle,,,,,"Chemistry Resources","Recursos de Química",,
lblYcanfoodOven,,,,,"Food Recipes With Cans","Recetas de comida Con Latas",,
lblNcanfoodOven,,,,,"Food Recipes Without Cans","Recetas de comida Sin Latas",,
lblOchemiOven,,,,,"Chemistry resources","Recursos de Química",,
quest_Survivalist1_description_title,,,,,"Survivalist Class","Clase Superviviente",,
quest_Survivalist1_description,,,,,"Welcome to Tongomod, you have received different class quests, they can be done in any order you want, continue by default with the ''Survivor'' class. \n\nAll recipes are unlocked by ''blue papers'' instead of skill points, take advantage of these to boost your character's skills. \n\nGood luck in your adventure.","Bienvenido a Tongomod, has recibido diferentes misiones de clase, se pueden realizar en el orden que desees, continúa por defecto con la clase ''Superviviente''. \n\nPor cierto, todas las recetas se desbloquean mediante ''papeles azules'' en lugar de los puntos de habilidad, aprovecha estos para potenciar las habilidades de tu personaje. \n\nBuena Suerte en el Yermo.",,
quest_Survivalist,,,,,"Survivalist Class","Clase Superviviente",,
quest_Survivalist1,,,,,"Survivalist Class 3/8","Clase Superviviente 3/8",,
quest_Survivalist1_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist1_subtitle,,,,,"Better than nothing","Mejor que nada",,
quest_Survivalist2,,,,,"Survivalist Class 4/8","Clase Superviviente 4/8",,
quest_Survivalist2_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist2_subtitle,,,,,"Put on your clothes","Vistete",,
quest_Survivalist3,,,,,"Survivalist Class 5/8","Clase Superviviente 5/8",,
quest_Survivalist3_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist3_subtitle,,,,,"Basic Weapons","Armas Básicas",,
quest_Survivalist4,,,,,"Survivalist Class 6/8","Clase Superviviente 6/8",,
quest_Survivalist4_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist4_subtitle,,,,,"Bow and arrows","Arco y Flechas",,
quest_Survivalist5,,,,,"Survivalist Class 7/8","Clase Superviviente 7/8",,
quest_Survivalist5_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist5_subtitle,,,,,"Start a Base","Comienza una base",,
quest_Survivalist6,,,,,"Survivalist Class 8/8","Clase Superviviente 8/8",,
quest_Survivalist6_desc,,,,,"Survival basics, complete to get the rewards. \n\nEnding with ''Road to Trader''","Nociones básicas de supervivencia, completar para obtener las recompensas. \n\nFinalizando con ''Camino al Vendedor''",,
quest_Survivalist6_subtitle,,,,,"A bit of fire","Un poco de Lumbre",,
quest_Builder,,,,,"Builder Class","Clase Constructor",,
quest_Builder1,,,,,"Builder Class 1/5","Clase Constructor 1/5",,
quest_Builder1_desc,,,,,"Craft wooden blocks to start your base.","Fabrica bloques de madera para comenzar con tu base.",,
quest_Builder1_subtitle,,,,,"Start your Base","Comienza tu Base",,
quest_Builder2,,,,,"Builder Class 2/5","Clase Constructor 2/5",,
quest_Builder2_desc,,,,,"Place and upgrade blocks with wood.","Coloca y mejora los bloques con madera.",,
quest_Builder2_subtitle,,,,,"Place and upgrade","Coloca y mejora",,
quest_Builder3,,,,,"Builder Class 3/5","Clase Constructor 3/5",,
quest_Builder3_desc,,,,,"Stone is stronger than wood, it's time to upgrade.","La piedra es más resistente que la madera, es hora de actualizar.",,
quest_Builder3_subtitle,,,,,"More resistant","Más resistente",,
quest_Builder4,,,,,"Builder Class 4/5","Clase Constructor 4/5",,
quest_Builder4_desc,,,,,"Concrete is relatively easy to craft, as well as very very strong.","El hormigón es relativamente barato de fabricar, además de muy muy resistente.",,
quest_Builder4_subtitle,,,,,"Liquid Stone","Piedra líquida",,
quest_Builder5,,,,,"Builder Class 5/5","Clase Constructor 5/5",,
quest_Builder5_desc,,,,,"Upgrade will steel, and take your base to another level.","Nada como el acero, si te lo puedes permitir, esta mejora llevará tu base a otro nivel.",,
quest_Builder5_subtitle,,,,,"The Age of Steel","La era del Acero",,
quest_Farmer,,,,,"Farmer Class","Clase Granjero",,
quest_Farmer1,,,,,"Farmer Class 1/5","Clase Granjero 1/5",,
quest_Farmer1_desc,,,,,"Resources for the Garden","Reúne recursos para el huerto.",,
quest_Farmer1_subtitle,,,,,"Our land","Nuestra Tierra",,
quest_Farmer2,,,,,"Farmer Class 2/5","Clase Granjero 2/5",,
quest_Farmer2_desc,,,,,"Collect wild plants, very common in the Forest area.","Recolecta plantas silvestres, muy comunes en la zona de Bosque.",,
quest_Farmer2_subtitle,,,,,"Wild plants","Plantas Silvestres",,
quest_Farmer3,,,,,"Farmer Class 3/5","Clase Granjero 3/5",,
quest_Farmer3_desc,,,,,"Garden delicacies for our dishes.","Manjares del huerto para nuestros platos.",,
quest_Farmer3_subtitle,,,,,"From the Garden to the Plate","Del Huerto al Plato",,
quest_Farmer4,,,,,"Farmer Class 4/5","Clase Granjero 4/5",,
quest_Farmer4_desc,,,,,"Drinks of all kinds from our garden.","Bebidas de todo tipo desde nuestro huerto.",,
quest_Farmer4_subtitle,,,,,"From the Garden to the Jar","Del Huerto al Vaso",,
quest_Farmer5,,,,,"Farmer Class 5/5","Clase Granjero 5/5",,
quest_Farmer5_desc,,,,,"A strange corn that is harvested in these lands.","Un extraño maíz que se cosecha por estas tierras.",,
quest_Farmer5_subtitle,,,,,"Children of the Corn","Los Chicos del Maíz",,
quest_Chef,,,,,"Chef Class","Clase Chef",,
quest_Chef1,,,,,"Chef Class 1/5","Clase Chef 1/5",,
quest_Chef1_desc,,,,,"Basic Campfire Recipes","Recetas basicas de la Fogata.",,
quest_Chef1_subtitle,,,,,"Poor Food","Lo más tieso",,
quest_Chef2,,,,,"Chef Class 2/5","Clase Chef 2/5",,
quest_Chef2_desc,,,,,"Basic sinle cuisine, simple, although not the healthiest.","Cocina de soltero, sencilla, aunque no lo más saludable.",,
quest_Chef2_subtitle,,,,,"Single","Cocina de Soltero",,
quest_Chef3,,,,,"Chef Class 3/5","Clase Chef 3/5",,
quest_Chef3_desc,,,,,"Prepare several recipes with canned food as a base.","Prepara varias recetas con latas de conserva como base.",,
quest_Chef3_subtitle,,,,,"Based on Cans","A base de Latas",,
quest_Chef4,,,,,"Chef Class 4/5","Clase Chef 4/5",,
quest_Chef4_desc,,,,,"Rich and nutritious recipes based on Pasta.","Ricas y nutritivas recetas a base de Pasta.",,
quest_Chef4_subtitle,,,,,"Long live pasta","Viva la Pasta",,
quest_Chef5,,,,,"Chef Class 5/5","Clase Chef 5/5",,
quest_Chef5_desc,,,,,"Recipes with incredible potential...","Recetas con un potencial increíble...",,
quest_Chef5_subtitle,,,,,"Great Recipes","Recetones",,
quest_Hunter,,,,,"Hunter Class","Clase Cazador",,
quest_Hunter1,,,,,"Hunter Class 1/5","Clase Cazador 1/5",,
quest_Hunter1_desc,,,,,"It hunts chickens and rabbits alike.","Caza pollos y conejos por igual.",,
quest_Hunter1_subtitle,,,,,"Small prey (chickens and rabbits)","Pequeñas presas (pollos y conejos)",,
quest_Hunter2,,,,,"Hunter Class 2/5","Clase Cazador 2/5",,
quest_Hunter2_desc,,,,,"This is already more serious, hunting boars and deer.","Esto ya es mas serio, caza jabalíes, ciervos y venados.",,
quest_Hunter2_subtitle,,,,,"Good Hunting (wild boar and deer)","Buena caza (jabalíes y ciervos)",,
quest_Hunter3,,,,,"Hunter Class 3/5","Clase Cazador 3/5",,
quest_Hunter3_desc,,,,,"Hunting where the sun shines, he catches a few coyotes.","Cazando donde el sol aprieta, caza unos cuantos coyotes.",,
quest_Hunter3_subtitle,,,,,"Hot Hunt","Caza Calurosa",,
quest_Hunter4,,,,,"Hunter Class 4/5","Clase Cazador 4/5",,
quest_Hunter4_desc,,,,,"The snow can be very hard territory, hunt some cougars.","La nieve puede ser un territorio muy duro, caza algunos pumas.",,
quest_Hunter4_subtitle,,,,,"Cold Hunting","Caza Fría",,
quest_Hunter5,,,,,"Hunter Class 5/5","Clase Cazador 5/5",,
quest_Hunter5_desc,,,,,"The fiercest hunters of these lands, hunt some wolves, dire wolves, and bears.","Los cazadores más fieros de estas tierras, caza algunos lobos, lobos gigantes, y osos.",,
quest_Hunter5_subtitle,,,,,"Hunter Hunted (wolves and bears)","Cazador Cazado (lobos y osos)",,
quest_Medic,,,,,"Medic Class","Clase Médico",,
quest_Medic1,,,,,"Medic Class 1/5","Clase Médico 1/5",,
quest_Medic1_desc,,,,,"Prepare some basic cures, which you will probably need later.","Prepara unas curas básicas, que probablemente necesitaras más adelante.",,
quest_Medic1_subtitle,,,,,"First aid","Primeros Auxilios",,
quest_Medic2,,,,,"Medic Class 2/5","Clase Médico 2/5",,
quest_Medic2_desc,,,,,"Don't let the disease stop you, get some Antibiotics.","Que la enfermedad no te detenga, consigue algunos Antibióticos.",,
quest_Medic2_subtitle,,,,,"Antibiotics","Antibióticos",,
quest_Medic3,,,,,"Medic Class 3/5","Clase Médico 3/5",,
quest_Medic3_desc,,,,,"With sweets we can get temporary improvements for our character.","Con los chuches podemos conseguir mejoras temporales para nuestro personaje.",,
quest_Medic3_subtitle,,,,,"Candy Sweets","Chuches",,
quest_Medic4,,,,,"Medic Class 4/5","Clase Médico 4/5",,
quest_Medic4_desc,,,,,"Get drugs and we powered.","Unas Drojas en el colacao, y a partirlo por el yermo.",,
quest_Medic4_subtitle,,,,,"Force and resistance","Fuerza y Resistencia",,
quest_Medic5,,,,,"Medic Class 5/5","Clase Médico 5/5",,
quest_Medic5_desc,,,,,"Good medicines saving your life one or more times.","Las buenas medicinas te acaban salvando la vida en más de una ocasión.",,
quest_Medic5_subtitle,,,,,"The Good Doctor","El buen Doctor",,
